물품,토큰,계약금액,계약일
생활원 텃밭 운영 물품,"['생활', '텃밭', '운영', '물품']",64800,2019-09-16
한국어학당 비자심사과정을 위한 사무용품,"['한국어', '학당', '비자', '심사', '과정', '사무', '용품']",127250,2019-09-16
계약학과 소모품,['소모품'],204500,2019-09-16
예술체육대학 조형예술학부 바켓 외 14종(실험실습비),"['바켓', '실험', '실습']",937600,2019-09-16
예술체육대학 조형예술학부 플러스젯소 외 4종(실험실습비),"['플러스', '젯소', '실험', '실습']",2646300,2019-09-16
해안도로관리 소모품(지주목),"['해안', '도로', '관리', '소모품', '주목']",5100000,2019-09-16
문화자치위원회 소모품,"['문화', '자치', '위원회', '소모품']",323400,2019-09-16
예술체육대학 조형예술학부 대형 및 A3 프린터 잉크(실험실습비),"['대형', '프린터', '잉크', '실험', '실습']",1240390,2019-09-16
AV시스템 전자교탁 유지보수용 소모성 부품,"['시스템', '전자', '교탁', '유지', '보수', '소모', '부품']",9505650,2019-09-16
예술체육대학 조형예술학부 두성 양면골판지 크라프트(실험실습비),"['두성', '양면', '판지', '크라프트', '실험', '실습']",240700,2019-09-16
문화자치위원회 소모품,"['문화', '자치', '위원회', '소모품']",323400,2019-09-16
예술체육대학 조형예술학부 바켓 외 14종(실험실습비),"['바켓', '실험', '실습']",937600,2019-09-16
"(생명과학부-생물학기초)실험실습재료(장미,백합)","['생물학', '기초', '실험', '실습', '재료', '장미', '백합']",87500,2019-09-16
한국어학당 비자심사과정을 위한 사무용품,"['한국어', '학당', '비자', '심사', '과정', '사무', '용품']",127250,2019-09-16
계약학과 소모품,['소모품'],204500,2019-09-16
예술체육대학 조형예술학부 대형 및 A3 프린터 잉크(실험실습비),"['대형', '프린터', '잉크', '실험', '실습']",1240390,2019-09-16
생활원 텃밭 운영 물품,"['생활', '텃밭', '운영', '물품']",64800,2019-09-16
예술체육대학 조형예술학부 플러스젯소 외 4종(실험실습비),"['플러스', '젯소', '실험', '실습']",2646300,2019-09-16
해안도로관리 소모품(지주목),"['해안', '도로', '관리', '소모품', '주목']",5100000,2019-09-16
예술체육대학 조형예술학부 두성 양면골판지 크라프트(실험실습비),"['두성', '양면', '판지', '크라프트', '실험', '실습']",240700,2019-09-16
AV시스템 전자교탁 유지보수용 소모성 부품,"['시스템', '전자', '교탁', '유지', '보수', '소모', '부품']",9505650,2019-09-16
INU어학센터(한국어학당) 해외연수생 증가에 따른 비품,"['어학', '센터', '한국어', '학당', '해외', '수생', '증가', '비품']",6906600,2019-09-16
(생명공학전공)실험실습재료(물벼룩),"['실험', '실습', '재료', '물벼룩']",21800,2019-09-17
인간 유전체 연구센터 소모품,"['인간', '유전체', '연구', '센터', '소모품']",42920,2019-09-17
인간 유전체 연구센터 소모품,"['인간', '유전체', '연구', '센터', '소모품']",42920,2019-09-17
"(생명과학부-생물학기초)실험실습재료(채혈침,혈액판정키트)","['생물학', '기초', '실험', '실습', '재료', '채혈', '혈액', '판정', '키트']",177100,2019-09-17
(생명과학전공)실험실습재료(라텍스 gloves 외 16종),"['실험', '실습', '재료', '라텍스']",3170000,2019-09-17
(생명공학전공)실험실습재료(라텍스 글러브 2종),"['실험', '실습', '재료', '라텍스', '글러브']",248600,2019-09-17
"(생명과학부-생물학기초)실험실습재료(채혈침,혈액판정키트)","['생물학', '기초', '실험', '실습', '재료', '채혈', '혈액', '판정', '키트']",177100,2019-09-17
(생명공학전공)실험실습재료(물벼룩),"['실험', '실습', '재료', '물벼룩']",21800,2019-09-17
(생명과학전공)실험실습재료(라텍스 gloves 외 16종),"['실험', '실습', '재료', '라텍스']",3170000,2019-09-17
(생명공학전공)실험실습재료(라텍스 글러브 2종),"['실험', '실습', '재료', '라텍스', '글러브']",248600,2019-09-17
스포츠센터 수영장 소독약품,"['스포츠', '센터', '수영장', '소독', '약품']",660000,2019-09-18
학생지원과 소모품,"['학생', '지원', '소모품']",116970,2019-09-18
한국어학당 강의용품(명찰 등),"['한국어', '학당', '강의', '용품', '명찰']",54600,2019-09-18
건설환경공학부 환경공학전공 실험실습재료,"['전공', '실험', '실습', '재료']",252120,2019-09-18
(대학혁신사업)2019년 대학혁신지원사업 연구실험실 환경개선 안전용품,"['대학', '혁신', '사업', '대학', '혁신', '지원', '사업', '연구', '실험실', '환경', '개선', '안전', '용품']",14900000,2019-09-18
(대학혁신사업)2019년 대학혁신지원사업 연구실험실 환경개선 안전용품,"['대학', '혁신', '사업', '대학', '혁신', '지원', '사업', '연구', '실험실', '환경', '개선', '안전', '용품']",14900000,2019-09-18
스포츠센터 수영장 소독약품,"['스포츠', '센터', '수영장', '소독', '약품']",660000,2019-09-18
한국어학당 강의용품(명찰 등),"['한국어', '학당', '강의', '용품', '명찰']",54600,2019-09-18
건설환경공학부 환경공학전공 실험실습재료,"['전공', '실험', '실습', '재료']",252120,2019-09-18
학생지원과 소모품,"['학생', '지원', '소모품']",116970,2019-09-18
전략평가팀 복사용지(A4),"['전략', '평가', '복사', '용지']",225800,2019-09-19
총학생회실 비품,"['총학생회', '비품']",1409730,2019-09-19
학생취업처장 명패,"['학생', '취업', '명패']",160000,2019-09-19
인간 유전체 연구센터 복합기 토너(행정실 공용),"['인간', '유전체', '연구', '센터', '복합기', '토너', '행정', '공용']",82000,2019-09-19
2019 인천 청소년 학술제 개최에 따른 물품,"['인천', '청소년', '학술', '개최', '물품']",7000000,2019-09-19
전략평가팀 복사용지(A4),"['전략', '평가', '복사', '용지']",225800,2019-09-19
기초교육원 강의용 소모품,"['강의', '소모품']",1304200,2019-09-19
입시상담실 운영을 위한 생수,"['입시', '상담', '운영', '생수']",150000,2019-09-19
정보기술대학원 복사용지,"['복사', '용지']",510000,2019-09-19
인간 유전체 연구센터 복합기 토너(행정실 공용),"['인간', '유전체', '연구', '센터', '복합기', '토너', '행정', '공용']",82000,2019-09-19
2019 인천 청소년 학술제 개최에 따른 물품,"['인천', '청소년', '학술', '개최', '물품']",7000000,2019-09-19
입시상담실 운영을 위한 생수,"['입시', '상담', '운영', '생수']",150000,2019-09-19
기초교육원 강의용 소모품,"['강의', '소모품']",1304200,2019-09-19
학생취업처장 명패,"['학생', '취업', '명패']",160000,2019-09-19
정보기술대학원 복사용지,"['복사', '용지']",510000,2019-09-19
사범대학 국어교육과 실험실습재료,"['실험', '실습', '재료']",468000,2019-09-20
사범대학 국어교육과 실험실습재료,"['실험', '실습', '재료']",468000,2019-09-20
[대학혁신지원사업] SURPRISE 페스티벌 부스 운영 물품,"['대학', '혁신', '지원', '사업', '페스티벌', '부스', '운영', '물품']",443500,2019-09-20
예술체육대학 학생회실 비품,"['학생회', '비품']",296710,2019-09-20
(분자의생명전공) 신임교원 연구환경 조성을위한 비품,"['신임', '교원', '연구', '환경', '조성', '비품']",2970000,2019-09-20
KBS 열린음악회 홍보 현수막,"['열린음악회', '홍보', '현수막']",5550000,2019-09-20
[대학혁신지원사업] SURPRISE 페스티벌 부스 운영 물품,"['대학', '혁신', '지원', '사업', '페스티벌', '부스', '운영', '물품']",443500,2019-09-20
예술체육대학 학생회실 비품,"['학생회', '비품']",296710,2019-09-20
2019년 교육대학원 교육경영 최고위과정 홍보 기념품,"['교육대학', '교육', '경영', '최고', '과정', '홍보', '기념품']",2880000,2019-09-20
[대학혁신지원사업] SURPRISE 페스티벌 기념품,"['대학', '혁신', '지원', '사업', '페스티벌', '기념품']",5900000,2019-09-20
2019년 교육대학원 교육경영 최고위과정 홍보 기념품,"['교육대학', '교육', '경영', '최고', '과정', '홍보', '기념품']",2880000,2019-09-20
[고교교육 기여대학 지원사업] 2020학년도 입학사정관 학생부종합전형 서류평가 사전교육(직무교육) 사무용품,"['고교', '교육', '기여', '대학', '지원', '사업', '학년', '입학사정관', '학생', '종합', '전형', '서류', '평가', '사전', '교육', '직무', '교육', '사무', '용품']",349500,2019-09-20
[대학혁신지원사업] SURPRISE 페스티벌 기념품,"['대학', '혁신', '지원', '사업', '페스티벌', '기념품']",5900000,2019-09-20
KBS 열린음악회 홍보 현수막,"['열린음악회', '홍보', '현수막']",5550000,2019-09-20
행정비품 복합기,"['행정', '비품', '복합기']",240000,2019-09-20
[고교교육 기여대학 지원사업] 2020학년도 입학사정관 학생부종합전형 서류평가 사전교육(직무교육) 사무용품,"['고교', '교육', '기여', '대학', '지원', '사업', '학년', '입학사정관', '학생', '종합', '전형', '서류', '평가', '사전', '교육', '직무', '교육', '사무', '용품']",349500,2019-09-20
기계설비 및 위생설비 유지관리에 필요한 소모자재,"['기계', '설비', '위생', '설비', '유지관리', '소모', '자재']",2711000,2019-09-23
복사용지,"['복사', '용지']",178500,2019-09-23
기계설비 및 위생설비 유지관리에 필요한 소모자재,"['기계', '설비', '위생', '설비', '유지관리', '소모', '자재']",2711000,2019-09-23
복사용지,"['복사', '용지']",178500,2019-09-23
부서운영 사무용품,"['부서', '운영', '사무', '용품']",18190,2019-09-23
부서운영 사무용품,"['부서', '운영', '사무', '용품']",68620,2019-09-23
신소재공학과 교육용SW(Origin Pro),['교육'],2244000,2019-09-23
신소재공학과 교육용SW(Vactran),['교육'],2090000,2019-09-23
부서운영 사무용품,"['부서', '운영', '사무', '용품']",68620,2019-09-23
예술체육대학 조형예술학부 벼루 외 8종(실험실습비),"['벼루', '실험', '실습']",2355100,2019-09-23
부서운영 사무용품,"['부서', '운영', '사무', '용품']",18190,2019-09-23
예술체육대학 조형예술학부 벼루 외 8종(실험실습비),"['벼루', '실험', '실습']",2355100,2019-09-23
동아리연합회 비품,"['동아리', '연합', '비품']",2167940,2019-09-24
홍보송출시스템 추가설치 및 보수용 부품,"['홍보', '출시', '스템', '추가', '설치', '보수', '부품']",1294700,2019-09-24
기초교육팀 소모품,"['기초', '교육', '소모품']",280500,2019-09-24
홍보송출시스템 추가설치 및 보수용 부품,"['홍보', '출시', '스템', '추가', '설치', '보수', '부품']",1294700,2019-09-24
기초교육팀 소모품,"['기초', '교육', '소모품']",280500,2019-09-24
예술체육대학 학생회실 사무용가구,"['학생회', '무용', '가구']",418000,2019-09-24
기초교육원 수업용 재료,"['수업', '재료']",313500,2019-09-25
건설환경공학부 환경공학전공 실험실습재료,"['전공', '실험', '실습', '재료']",240680,2019-09-25
건설환경공학부 환경공학전공 실험실습재료,"['전공', '실험', '실습', '재료']",1444597,2019-09-25
한국어학당 비자심사과정을 위한 사무용품(토너),"['한국어', '학당', '비자', '심사', '과정', '사무', '용품', '토너']",198000,2019-09-25
[통합]화학과 교육용 기자재 [고성능 양자 계산 시스템],"['통합', '교육', '자재', '고성능', '양자', '계산', '시스템']",93665000,2019-09-25
인력개발팀 교육소모품,"['인력', '개발', '교육', '소모품']",66350,2019-09-25
건설환경공학부 환경공학전공 실험실습재료,"['전공', '실험', '실습', '재료']",240680,2019-09-25
2019년 교육대학원 교육경영 최고위과정 홍보 기념품,"['교육대학', '교육', '경영', '최고', '과정', '홍보', '기념품']",728000,2019-09-25
산업경영공학과 교육용기자재(빅데이터분석교육용컴퓨터 외),"['교육', '용기', '자재', '빅데이터', '분석', '교육', '컴퓨터']",1926650,2019-09-25
기초교육원 수업용 재료,"['수업', '재료']",313500,2019-09-25
산업경영공학과 교육용기자재(딥러닝강의용노트북),"['교육', '용기', '자재', '러닝', '강의', '노트북']",3445000,2019-09-25
건설환경공학부 환경공학전공 실험실습재료,"['전공', '실험', '실습', '재료']",1444597,2019-09-25
한국어학당 비자심사과정을 위한 사무용품(토너),"['한국어', '학당', '비자', '심사', '과정', '사무', '용품', '토너']",198000,2019-09-25
2019년 교육대학원 교육경영 최고위과정 홍보 기념품,"['교육대학', '교육', '경영', '최고', '과정', '홍보', '기념품']",728000,2019-09-25
인력개발팀 교육소모품,"['인력', '개발', '교육', '소모품']",66350,2019-09-25
[인문학연구소]사무용품,"['인문학', '연구소', '사무', '용품']",53400,2019-09-26
(생명과학전공)실험실습재료(루벤스 세필붓 외),"['실험', '실습', '재료', '루벤스', '필붓']",30950,2019-09-26
(체육진흥원)도어락 건전지,"['체육', '진흥', '도어', '건전지']",6600,2019-09-26
(생명공학전공)소모품(토너 4종),"['소모품', '토너']",598400,2019-09-26
생활원 제1기숙사 사무용품,"['생활', '기숙사', '사무', '용품']",2118600,2019-09-26
(생명과학전공)실험실습재료(Vannas Scissors 외 1종),"['실험', '실습', '재료']",874500,2019-09-26
(생명공학전공)실험실습재료(Plate Count Skim Milk Agar),"['실험', '실습', '재료']",117810,2019-09-26
(생명과학전공)실험실습재료(봉침용 핀셋 외),"['실험', '실습', '재료', '봉침', '핀셋']",93500,2019-09-26
(메카트로닉스공학과)실험실습재료,"['실험', '실습', '재료']",481800,2019-09-26
(생명과학전공)실험실습재료(루벤스 세필붓 외),"['실험', '실습', '재료', '루벤스', '필붓']",30950,2019-09-26
(체육진흥원)도어락 건전지,"['체육', '진흥', '도어', '건전지']",6600,2019-09-26
(생명공학전공)실험실습재료(Plate Count Skim Milk Agar),"['실험', '실습', '재료']",117810,2019-09-26
[인문학연구소]사무용품,"['인문학', '연구소', '사무', '용품']",53400,2019-09-26
생활원 제1기숙사 사무용품,"['생활', '기숙사', '사무', '용품']",2118600,2019-09-26
(생명공학전공)소모품(토너 4종),"['소모품', '토너']",598400,2019-09-26
(생명과학전공)실험실습재료(Vannas Scissors 외 1종),"['실험', '실습', '재료']",874500,2019-09-26
(메카트로닉스공학과)실험실습재료,"['실험', '실습', '재료']",481800,2019-09-26
(생명과학전공)실험실습재료(봉침용 핀셋 외),"['실험', '실습', '재료', '봉침', '핀셋']",93500,2019-09-26
아프리카돼지열병 방역을 위한 소독용 생석회,"['아프리카', '돼지', '열병', '방역', '소독', '생석회']",330000,2019-09-27
사회과학대학 학생게시판 등,"['학생', '게시판']",115200,2019-09-27
사회과학연구원 프린터 토너,"['사회과학', '연구원', '프린터', '토너']",215820,2019-09-27
예술체육대학 운동건강학부 재료(Korean BLS DVD),['재료'],96800,2019-09-27
예술체육대학 운동건강학부 재료(Korean BLS DVD),['재료'],96800,2019-09-27
사회과학연구원 프린터 토너,"['사회과학', '연구원', '프린터', '토너']",215820,2019-09-27
아프리카돼지열병 방역을 위한 소독용 생석회,"['아프리카', '돼지', '열병', '방역', '소독', '생석회']",330000,2019-09-27
사회과학대학 학생게시판 등,"['학생', '게시판']",115200,2019-09-27
동북아물류대학원 강의용 컴퓨터,"['동북아', '물류', '대학원', '강의', '컴퓨터']",3580000,2019-09-27
기계공학과 교육용기자재 (원심펌프실험장치),"['교육', '용기', '자재', '원심펌프', '실험', '장치']",21400000,2019-09-30
도시과학대학 교학실 사무용품,"['교학', '사무', '용품']",270200,2019-09-30
사범대학 교육캡스톤디자인 실험실습재료,"['교육', '스톤', '디자인', '실험', '실습', '재료']",226610,2019-09-30
융합과학기술원 행정실 소모품,"['융합', '과학기술원', '행정', '소모품']",4000,2019-09-30
사범대학 교육캡스톤디자인 실험실습재료,"['교육', '스톤', '디자인', '실험', '실습', '재료']",226610,2019-09-30
융합과학기술원 행정실 소모품,"['융합', '과학기술원', '행정', '소모품']",4000,2019-09-30
도시과학대학 교학실 사무용품,"['교학', '사무', '용품']",270200,2019-09-30
중국학술원 소모품,"['중국', '학술원', '소모품']",294290,2019-10-01
한국어학당 강의용품(보드마카 등),"['한국어', '학당', '강의', '용품', '보드마카']",356840,2019-10-01
(생명공학전공)소모품(대용량둥근쫄대화일 외 57종),"['소모품', '용량', '화일']",964400,2019-10-01
(생명과학부-생물학기초)실험실습재료(라텍스 장갑 외 3종),"['생물학', '기초', '실험', '실습', '재료', '라텍스', '장갑']",144330,2019-10-01
2020학년도 수시모집 11월 학생부종합전형 면접고사 운영에 따른 물품,"['학년', '수시', '모집', '학생', '종합', '전형', '면접', '고사', '운영', '물품']",794950,2019-10-01
한국어학당 강의용품(보드마카 등),"['한국어', '학당', '강의', '용품', '보드마카']",356840,2019-10-01
2020학년도 수시모집 11월 학생부종합전형 면접고사 운영에 따른 물품,"['학년', '수시', '모집', '학생', '종합', '전형', '면접', '고사', '운영', '물품']",794950,2019-10-01
중국학술원 소모품,"['중국', '학술원', '소모품']",294290,2019-10-01
(생명공학전공)실험실습재료(꽃게),"['실험', '실습', '재료', '꽃게']",32530,2019-10-01
(생명과학부-생물학기초)실험실습재료(라텍스 장갑 외 3종),"['생물학', '기초', '실험', '실습', '재료', '라텍스', '장갑']",144330,2019-10-01
융합과학기술원 행정실 업무용 A4 복사지,"['융합', '과학기술원', '행정', '업무', '복사']",225800,2019-10-01
(생명공학전공)소모품(대용량둥근쫄대화일 외 57종),"['소모품', '용량', '화일']",964400,2019-10-01
(생명공학전공)실험실습재료(꽃게),"['실험', '실습', '재료', '꽃게']",32530,2019-10-01
융합과학기술원 행정실 업무용 A4 복사지,"['융합', '과학기술원', '행정', '업무', '복사']",225800,2019-10-01
(총무팀) 사무용 토너,"['총무', '무용', '토너']",780000,2019-10-02
예술체육대학 조형예술학부 에코파인아트용지 외 1종(실험실습비),"['에코', '아트', '용지', '실험', '실습']",390000,2019-10-02
(생명공학전공)실험실습재료(Plate Count Skim Milk Agar 외 4종),"['실험', '실습', '재료']",290510,2019-10-02
(생명과학전공)실험실습재료(Featherweight Forceps),"['실험', '실습', '재료']",165000,2019-10-02
복사용지,"['복사', '용지']",1129000,2019-10-02
(생명과학전공)실험실습재료(VECTASHIELD® Mounting Medium 외 1종),"['실험', '실습', '재료']",476300,2019-10-02
[인문대학]복사기 토너,"['복사기', '토너']",969650,2019-10-02
예술체육대학 조형예술학부 2합장지 외 2종(실험실습비),"['합장', '실험', '실습']",1380500,2019-10-02
[인문대학]복사기 토너,"['복사기', '토너']",969650,2019-10-02
예술체육대학 조형예술학부 2합장지 외 2종(실험실습비),"['합장', '실험', '실습']",1380500,2019-10-02
(생명과학전공)실험실습재료(Featherweight Forceps),"['실험', '실습', '재료']",165000,2019-10-02
(총무팀) 사무용 토너,"['총무', '무용', '토너']",780000,2019-10-02
복사용지,"['복사', '용지']",1129000,2019-10-02
예술체육대학 조형예술학부 에코파인아트용지 외 1종(실험실습비),"['에코', '아트', '용지', '실험', '실습']",390000,2019-10-02
(생명과학전공)실험실습재료(VECTASHIELD® Mounting Medium 외 1종),"['실험', '실습', '재료']",476300,2019-10-02
도서관 정수기 종이컵,"['도서관', '정수기', '종이컵']",220000,2019-10-02
(생명공학전공)실험실습재료(Plate Count Skim Milk Agar 외 4종),"['실험', '실습', '재료']",290510,2019-10-02
교수학습지원팀 복사용지(A4),"['교수', '학습', '지원', '복사', '용지']",122010,2019-10-02
교수학습지원팀 복사용지(A4),"['교수', '학습', '지원', '복사', '용지']",122010,2019-10-02
도서관 정수기 종이컵,"['도서관', '정수기', '종이컵']",220000,2019-10-02
(체육진흥원)사무용품,"['체육', '진흥', '사무', '용품']",146450,2019-10-03
(체육진흥원)사무용품,"['체육', '진흥', '사무', '용품']",146450,2019-10-03
(체육진흥원)시계 건전지,"['체육', '진흥', '시계', '건전지']",1300,2019-10-03
(체육진흥원)시계 건전지,"['체육', '진흥', '시계', '건전지']",1300,2019-10-03
재무회계팀 사무용품,"['재무회계', '사무', '용품']",107390,2019-10-04
재무회계팀 사무용품,"['재무회계', '사무', '용품']",107390,2019-10-04
융합과학기술원 행정실 소모품,"['융합', '과학기술원', '행정', '소모품']",66000,2019-10-04
융합과학기술원 행정실 소모품,"['융합', '과학기술원', '행정', '소모품']",66000,2019-10-04
융합기계공학과 교육용기자재(솔리드웍스),"['융합', '교육', '용기', '자재', '솔리드', '웍스']",18300000,2019-10-07
평생교육원 사무용품(복사용지),"['평생교육', '사무', '용품', '복사', '용지']",451600,2019-10-07
연구혁신팀 물품,"['연구', '혁신', '물품']",158060,2019-10-07
연구혁신팀 물품,"['연구', '혁신', '물품']",158060,2019-10-07
평생교육원 사무용품(복사용지),"['평생교육', '사무', '용품', '복사', '용지']",451600,2019-10-07
예술체육대학 조형예술학부 수시 정물 및 모델복장(입시경비),"['수시', '정물', '모델', '복장', '입시', '경비']",1319720,2019-10-08
주차관제시스템 신규번호판 인식 모듈 S/W,"['주차', '관제', '시스템', '신규', '번호판', '인식', '모듈']",4730000,2019-10-08
(나노바이오전공)실험실습재료(Nitrile Glove),"['실험', '실습', '재료']",176000,2019-10-08
예술체육대학 조형예술학부 수시 정물 및 모델복장(입시경비),"['수시', '정물', '모델', '복장', '입시', '경비']",1319720,2019-10-08
수목관리 소모품(지주목),"['수목', '관리', '소모품', '주목']",1958000,2019-10-08
예술체육대학 조형예술학부 옥당지(입시경비),"['옥당', '입시', '경비']",69000,2019-10-08
예술체육대학 조형예술학부 켄트지(입시경비),"['켄트지', '입시', '경비']",108000,2019-10-08
(부속실) 사무용품,"['부속', '사무', '용품']",796550,2019-10-08
(나노바이오전공)실험실습재료(Iso-Propyl Alcohol),"['실험', '실습', '재료']",236720,2019-10-08
기계설비의 유지관리용 소모성 자재,"['기계', '설비', '유지관리', '소모', '자재']",1982970,2019-10-08
(부속실) 사무용품,"['부속', '사무', '용품']",796550,2019-10-08
(나노바이오전공)실험실습재료(Iso-Propyl Alcohol),"['실험', '실습', '재료']",236720,2019-10-08
기계설비의 유지관리용 소모성 자재,"['기계', '설비', '유지관리', '소모', '자재']",1982970,2019-10-08
예술체육대학 조형예술학부 켄트지(입시경비),"['켄트지', '입시', '경비']",108000,2019-10-08
예술체육대학 조형예술학부 옥당지(입시경비),"['옥당', '입시', '경비']",69000,2019-10-08
수목관리 소모품(지주목),"['수목', '관리', '소모품', '주목']",1958000,2019-10-08
(나노바이오전공)실험실습재료(Nitrile Glove),"['실험', '실습', '재료']",176000,2019-10-08
교육경영 최고위과정 홍보 기념품,"['교육', '경영', '최고', '과정', '홍보', '기념품']",1330000,2019-10-10
(국비) 2019년 대학일자리센터 사업 활성화를 위한 홍보 기념품,"['국비', '대학', '일자리', '센터', '사업', '활성화', '홍보', '기념품']",1214500,2019-10-10
건설환경공학부 환경공학전공 실험실습재료,"['전공', '실험', '실습', '재료']",97438,2019-10-10
(생명공학전공)실험실습재료(오징어),"['실험', '실습', '재료', '오징어']",30240,2019-10-10
문화자치위원회 10월 도서 자료,"['문화', '자치', '위원회', '도서', '자료']",565270,2019-10-10
(체육진흥원)해외체육특기자(육상) 훈련용품,"['체육', '진흥', '해외', '체육', '특기', '육상', '훈련', '용품']",39900,2019-10-10
교육경영 최고위과정 홍보 기념품,"['교육', '경영', '최고', '과정', '홍보', '기념품']",1330000,2019-10-10
(국비) 2019년 대학일자리센터 사업 활성화를 위한 홍보 기념품,"['국비', '대학', '일자리', '센터', '사업', '활성화', '홍보', '기념품']",1214500,2019-10-10
(생명과학전공)실험실습재료(Conical Tube 외 4종),"['실험', '실습', '재료']",2956800,2019-10-10
건설환경공학부 환경공학전공 실험실습재료,"['전공', '실험', '실습', '재료']",97438,2019-10-10
(체육진흥원)해외체육특기자(육상) 훈련용품,"['체육', '진흥', '해외', '체육', '특기', '육상', '훈련', '용품']",39900,2019-10-10
(생명공학전공)실험실습재료(오징어),"['실험', '실습', '재료', '오징어']",30240,2019-10-10
문화자치위원회 10월 도서 자료,"['문화', '자치', '위원회', '도서', '자료']",565270,2019-10-10
(생명과학전공)실험실습재료(Conical Tube 외 4종),"['실험', '실습', '재료']",2956800,2019-10-10
예술체육대학 조형예술학부「INU YOUNG ARTIST 2019 展」2단 롤러 우드폴대 외 6종(일반수용비),"['롤러', '우드', '용비']",256250,2019-10-11
스포츠센터 사무실 토너,"['스포츠', '센터', '사무실', '토너']",660000,2019-10-11
(체육진흥원)탁구부 운동용품(훈련물품),"['체육', '진흥', '탁구', '운동', '용품', '훈련', '물품']",9500000,2019-10-11
스포츠센터 사무실 토너,"['스포츠', '센터', '사무실', '토너']",660000,2019-10-11
외국어교육센터 강의용품(복사용지),"['외국어', '교육', '센터', '강의', '용품', '복사', '용지']",522850,2019-10-11
예술체육대학 조형예술학부「INU YOUNG ARTIST 2019 展」5단 사다리 (일반수용비),"['사다리', '용비']",432000,2019-10-11
외국어교육센터 강의용품(복사용지),"['외국어', '교육', '센터', '강의', '용품', '복사', '용지']",522850,2019-10-11
(법인회계) 영어영문학과 교육용기자재,"['법인', '회계', '교육', '용기', '자재']",4398000,2019-10-11
(체육진흥원)탁구부 운동용품(훈련물품),"['체육', '진흥', '탁구', '운동', '용품', '훈련', '물품']",9500000,2019-10-11
예술체육대학 조형예술학부「INU YOUNG ARTIST 2019 展」2단 롤러 우드폴대 외 6종(일반수용비),"['롤러', '우드', '용비']",256250,2019-10-11
"2019-2 생활원 1,2기숙사 중간고사 간식배부 행사 물품","['생활', '기숙사', '중간고사', '간식', '배부', '행사', '물품']",9578600,2019-10-11
예술체육대학 조형예술학부「INU YOUNG ARTIST 2019 展」5단 사다리 (일반수용비),"['사다리', '용비']",432000,2019-10-11
인천대학교 환경미화 계단청소용 마루광택기,"['인천대학교', '환경', '미화', '계단', '청소', '마루', '광택']",617100,2019-10-11
"2019-2 생활원 1,2기숙사 중간고사 간식배부 행사 물품","['생활', '기숙사', '중간고사', '간식', '배부', '행사', '물품']",9578600,2019-10-11
(생명과학부-생물학기초)실험실습재료(시금치),"['생물학', '기초', '실험', '실습', '재료', '시금치']",11940,2019-10-12
(생명과학부-생물학기초)실험실습재료(시금치),"['생물학', '기초', '실험', '실습', '재료', '시금치']",11940,2019-10-12
(생명과학부)소모품(건전지 외 4종),"['소모품', '건전지']",69030,2019-10-14
2020학년도 신입학전형 수시모집 10월 면접고사 간식,"['학년', '신입학', '전형', '수시', '모집', '면접', '고사', '간식']",3250000,2019-10-14
사회복지학과 수업용 재료(복사용지),"['수업', '재료', '복사', '용지']",621200,2019-10-14
2020학년도 수시모집 10월 면접고사에 따른 다과 및 물품,"['학년', '수시', '모집', '면접', '고사', '다과', '물품']",912150,2019-10-14
(생명과학부-생물학기초)실험실습재료(물벼룩),"['생물학', '기초', '실험', '실습', '재료', '물벼룩']",128500,2019-10-14
융합과학기술원 I-Nano Fab 클린부스용 방진복,"['융합', '과학기술원', '클린', '부스', '방진']",480000,2019-10-14
기초교육원 수업용 재료,"['수업', '재료']",407270,2019-10-14
스포츠센터 냉각탑 약품,"['스포츠', '센터', '냉각탑', '약품']",481250,2019-10-14
(생명과학부)소모품(문화 투명홀더 외 10종),"['소모품', '문화', '투명', '홀더']",77710,2019-10-14
(생명과학부)소모품(문화 투명홀더 외 10종),"['소모품', '문화', '투명', '홀더']",77710,2019-10-14
(생명과학부-생물학기초)실험실습재료(물벼룩),"['생물학', '기초', '실험', '실습', '재료', '물벼룩']",128500,2019-10-14
융합과학기술원 I-Nano Fab 클린부스용 방진복,"['융합', '과학기술원', '클린', '부스', '방진']",480000,2019-10-14
사회복지학과 수업용 재료(복사용지),"['수업', '재료', '복사', '용지']",621200,2019-10-14
2020학년도 수시모집 10월 면접고사에 따른 다과 및 물품,"['학년', '수시', '모집', '면접', '고사', '다과', '물품']",912150,2019-10-14
기초교육원 수업용 재료,"['수업', '재료']",407270,2019-10-14
(생명과학부)소모품(건전지 외 4종),"['소모품', '건전지']",69030,2019-10-14
스포츠센터 냉각탑 약품,"['스포츠', '센터', '냉각탑', '약품']",481250,2019-10-14
2020학년도 신입학전형 수시모집 10월 면접고사 간식,"['학년', '신입학', '전형', '수시', '모집', '면접', '고사', '간식']",3250000,2019-10-14
칼라 프린터 토너,"['칼라', '프린터', '토너']",278300,2019-10-15
인간 유전체 연구센터 복합기 토너,"['인간', '유전체', '연구', '센터', '복합기', '토너']",705000,2019-10-15
총학생회 소모품,"['총학생회', '소모품']",671480,2019-10-15
칼라 프린터 토너,"['칼라', '프린터', '토너']",278300,2019-10-15
부서 사무용품,"['부서', '사무', '용품']",445530,2019-10-15
5호관 물리학과 실험실 콘센트,"['호관', '실험실', '콘센트']",1936000,2019-10-15
방화문 안내 스티커,"['방화', '안내', '스티커']",770000,2019-10-15
